venue.id,venue.name,venue.location.lat,venue.location.lng,borough,rating,likes,tips_count
4ded556745dd3aa41d634703,Smashburger,40.68978407181625,-73.97961795332886,Brooklyn,7.8,166,73
552f21b9498edd664395504f,Benson's,40.721878,-73.98665,Manhattan Community Board 3,7.7,112,33
3fd66200f964a52036e31ee3,"Paul's ""Da Burger Joint""",40.72851204898282,-73.98782355214927,Manhattan Community Board 3,7.5,239,144
3fd66200f964a52045ea1ee3,Jackson Hole,40.74615,-73.97749,Manhattan Community Board 6,7.4,101,49
59681d5b8b98fd6fb9b4dbb6,Hard Times Sundaes,40.691261,-73.98259,Brooklyn,7.7,9,3
53ed3b37498e4151087521a9,Bareburger,40.742693954701245,-74.02907006819072,Hudson County,8.2,85,27
4b6489b0f964a520d7bb2ae3,Lucky's Famous Burgers,40.764578154735034,-73.98764252084158,Manhattan Community Board 5,7.6,149,88
5b9eedc793bd63002cf79f6e,Burgerology Astoria,40.77554494936608,-73.90962660312653,Queens,7.5,17,4
5655e006498ed8fc704e574d,Dark Side of the Moo,40.746058623717865,-74.0445817907069,Jersey City,8.6,28,9
5a7200d997461724ba963ae5,Next Level Burger,40.68620707868772,-73.9787515924693,Brooklyn,7.6,41,11
597e06a9270ee719137b1de0,Zinburger,40.72686504622126,-74.0365313556804,Jersey City,8.2,49,9
3fd66200f964a520cce51ee3,Trailer Park Lounge & Grill,40.74514614755673,-73.99805201534596,Manhattan Community Board 4,7.7,340,150
49d4ce02f964a5204e5c1fe3,White Star Bar,40.728072406674194,-74.05001807425982,Jersey City,8.6,177,83
49c86272f964a52019581fe3,Bonnie's Grill,40.67431661397844,-73.98218183269694,Brooklyn,8.1,157,101
514f891de4b089e31327a95c,Harlem Shake,40.807050027706815,-73.94609916624624,Manhattan Community Board 10,8.1,426,170
57d2e877498e462efba75cde,Landhaus,40.67729772942747,-73.95724788743574,Brooklyn,7.5,22,4
4d004d2f202e224bd8fab22a,New York Burger Co.,40.7474035,-74.00406439999999,Manhattan Community Board 4,7.5,155,64
4a4e89a5f964a5209eae1fe3,White Star,40.71327915577514,-74.03979303592207,Jersey City,8.7,174,45
57c86b6a498e43a03acd849f,Schnipper's Quality Kitchen,40.7137184634891,-74.00904056786914,Manhattan Community Board 1,7.6,49,8
44f2fa97f964a52010381fe3,SoHo Park,40.72365745722065,-73.9966361186647,Manhattan Community Board 2,6.8,496,239
567a40b1498ef19172a0b3cf,The Alcove,40.74592873256032,-73.91526311066848,Queens,9.1,77,23
540ce9d0498e8ef1a0ad6a85,Burger Village,40.67034767005951,-73.9787535965878,Brooklyn,7.7,62,22
5b5ca4a1f870fd002cafcea7,Rip's Malt Shop,40.697617,-73.971886,Brooklyn,7.4,8,8
4c48c5441b430f47c3f6a2c2,Rico chimi,40.68500140444154,-73.8604204673071,Queens,7.8,22,1
49c3df11f964a52081561fe3,Walter Foods,40.71344351717057,-73.9585818114249,Brooklyn,9.0,742,251
5c43a4e8e17910002c355cbe,Stocked Burger,40.677219,-73.963579,Brooklyn,7.4,7,3
4bd254bd77b29c743da18e82,The Commodore,40.71408593052304,-73.95581668684504,Brooklyn,8.7,885,324
5c072606ecb3ed00252104c0,Shake Shack,40.806602956679846,-73.94239669863656,Manhattan Community Board 10,7.8,10,3
5b6cebd5666116002c408294,Diesel and Duke,40.72292686677872,-74.04926971412702,Hudson County,8.0,16,3
55563fd7498ed1411217d872,Creamline,40.74235340536908,-74.00614912117321,Manhattan Community Board 4,7.5,99,38
4758483af964a520cc4c1fe3,Westville East,40.7284276229589,-73.98189363635092,Manhattan Community Board 3,8.9,835,297
3fd66200f964a52069eb1ee3,Sweetwater Restaurant,40.71836741592055,-73.95999990648477,Brooklyn,8.7,290,125
45e94762f964a52071431fe3,Black Bear Bar & Grill,40.73893753740123,-74.03027147488059,Hudson County,7.5,190,100
4dc6c991e4cd169dc66dd58d,Wimpy's,40.799341325314856,-73.93604919362785,Manhattan Community Board 11,7.1,6,6
4aec7ec1f964a520e3c721e3,Joe Junior,40.734634,-73.985946,Manhattan Community Board 6,8.1,255,89
