venue.id,venue.name,venue.location.lat,venue.location.lng,borough
4dffdab7483b4557162392e3,Retro Burger,43.68388108900522,-79.32148429143008,Beaches—East York
4b22e814f964a520175024e3,The Lakeview Restaurant,43.64943515996231,-79.42039021958406,Davenport
4dfcd1bf1f6e05048d872c36,Harvey's,43.63973703665152,-79.41895916525044,Spadina—Fort York
4b69a5f3f964a52043ab2be3,A&W Canada,43.655583,-79.381312,Downtown Yonge
5d300095844dd80008b34464,A&W Canada,43.665334,-79.352422,East York
51df585f498ef3df406f9857,No Bull Burger,43.680760634916616,-79.28501935257889,Beaches—East York
4b9ee0b8f964a520ef0737e3,Dairy Freeze,43.67519526623445,-79.454845523465,Davenport
4adf4770f964a520097921e3,South St. Burger,43.709654865131874,-79.39883266055938,Toronto—St. Paul's
4db86d7cfc608240bc2cbb99,Uncle Betty's Diner,43.7144524368588,-79.40009057656115,Don Valley West
4e99a58782310013a1292231,Slab Burgers,43.66841291833792,-79.3885447788524,University—Rosedale
4b7355a4f964a52044a92de3,Mildred's Temple Kitchen,43.64017718328022,-79.42015753363509,Spadina—Fort York
4b11ed35f964a520168723e3,Gabby's Eatery & Taps,43.65076792325883,-79.37048856933147,Toronto Centre
4af749b7f964a520020822e3,BQM Burger,43.648930792221904,-79.42073802166144,Ossington Strip
4cae24479cba9521324191d9,Big Smoke Burger,43.649722,-79.376206,King East
5a6bd7ec6661160f9355c448,Sidebar,43.676441,-79.356745,East York
540de0fa498ea2728a4e9a7e,Hero Certified Burgers,43.644942461439186,-79.38627820250333,Entertainment District
4ad4c05ff964a5201ef720e3,Vesta Lunch,43.67323314493058,-79.41427023061763,University—Rosedale
51d62df3498e4812ead1ca3a,South St. Burger,43.681229019712596,-79.42792927601594,Toronto—St. Paul's
544852c3498e49ed2360db96,South St. Burger,43.651579049490756,-79.36730306874465,Toronto Centre
579400f5498eeafb24897f10,Wendy's,43.660403362711776,-79.36062902212149,Toronto Centre
4ad8ba31f964a520131421e3,Jetsun's Juicyburger,43.72707798148354,-79.293039345609,Scarborough Centre
4b06d80cf964a52042f122e3,Hero Certified Burgers,43.64939594104502,-79.37811662343712,Toronto Centre
4ae8ee4bf964a52078b321e3,Bishop and Belcher,43.67009573008565,-79.38235405899651,University—Rosedale
4ad4c05df964a52040f620e3,Canyon Creek Front Street,43.64505652745295,-79.38433430354348,Spadina—Fort York
565e71f5498ed383cf90b5c4,The Burger's Priest,43.66587811890311,-79.40778538348496,University—Rosedale
52acedc011d2bf5586251c3c,Union Social Eatery,43.68789522205706,-79.39491559605742,Toronto—St. Paul's
4fe49fd4e4b023504e77794e,The White Brick Kitchen,43.66429959529842,-79.41494748611514,University—Rosedale
51465d1ae4b0251c38008ee6,Hero Certified Burgers,43.70551137025456,-79.34706447492002,Thorncliffe Park
4f9b223be4b0d04dbfa6ff88,Hero Certified Burgers,43.68863093053954,-79.41263632449024,Toronto—St. Paul's
54b416fc498e7d8e2ed1337b,South Street Burger Co.,43.670956785502824,-79.39250354285882,University—Rosedale
5823cc8cd1efa6541abcdc4d,Burger Factory,43.65031,-79.389127,Spadina—Fort York
510ab343e4b0a390b641f522,Hero Burger,43.64373698999591,-79.4035027473136,Spadina—Fort York
5294d3af11d21de61585c467,Toma Burger Addiction,43.64627164549174,-79.40882394104189,Spadina—Fort York
53d56465498edbfdf1d16f6b,Wahlburgers,43.64514798543014,-79.39192788468328,Spadina—Fort York
51c48c84498eb900167ed9c7,Manhattan's Hand-made Burgers,43.65051087389673,-79.37917835124792,Toronto Centre
529e7344498e18bff5e60191,The Carbon Bar,43.65336708689279,-79.37496515174824,Toronto Centre
533a19bd498edb8ef1f980c7,O Resto,43.64934814297894,-79.37741524564215,Toronto Centre
4e9a55b68231878c156f04bf,Cold Tea,43.65419313416817,-79.40107491108753,University—Rosedale
4c11888fd917c92837f4b562,"Oliver & Bonacini Café Grill, Yonge and Front",43.64714379216559,-79.3769382034035,Toronto Centre
4ae7199ff964a52068a821e3,Bymark,43.647217284018005,-79.38125188166379,Spadina—Fort York
58346186110d0369b2746faf,Wendy's,43.6595818,-79.3290615,East York
4baa4b39f964a520ec5b3ae3,Marché Mövenpick,43.6472616,-79.3785998,Toronto Centre
4ad4c05df964a5204df620e3,Rebel House,43.67766092876885,-79.38993462266356,University—Rosedale
4bd4925d637ba59348f7f470,Garden Gate Resturant,43.67261471952654,-79.28749153616172,Beaches—East York
4b1c343bf964a520350424e3,Lick's Homeburgers,43.72930475854217,-79.28877154670074,Wexford
4ad4c05cf964a520cdf520e3,Insomnia Restaurant and Lounge,43.665179618013326,-79.41096552569321,University—Rosedale
4e6bb632b61cc3728e22e9bc,Hero Certified Burgers,43.63872981838682,-79.4181283477684,Liberty Village
4c6b48a59669e21e55e2aa51,Harvey's,43.6603818123201,-79.37605098041458,Toronto Centre
4c3212bf7cc0c9b6b5acef9a,Wendy's,43.64933801599513,-79.37952250242228,Toronto Centre
4ad8aabef964a5207c1321e3,Avenue Open Kitchen,43.647273151492655,-79.39631997359885,Spadina—Fort York
4adb4489f964a520642521e3,Three Speed,43.6592927979752,-79.43802453551683,Davenport
4b4dfe5bf964a52063dd26e3,Soly's Grille,43.648883874777965,-79.38204100082264,Toronto-Dominion Centre
4c575eb630d82d7f3cc5d962,Desi Burger & Chaat House,43.67170831818089,-79.32461426469615,East York
50d8a364e4b0b55bced1e85f,Hero Certified Burgers,43.67036012943005,-79.29892366666198,Beaches—East York
4b6cf195f964a5204c5f2ce3,Frankie's Bar & Cafe,43.64428952965486,-79.41848108576797,Davenport
4ed5094f0e01fd2f5bc0190f,A&W Canada,43.651378,-79.378986,Old Toronto
4aef6ee3f964a52067d821e3,Harvey's,43.65634122832949,-79.38094714611317,Toronto Centre
4e112e29b3adf2a0f5a2c258,Mr Tasty's Drive In,43.68972635348265,-79.29372744610778,Beaches—East York
4bc754f314d79521452c67e9,Hero Certified Burgers,43.67120354661671,-79.39439499683373,Bloor Street Culture Corridor
4e20d440a80968cf3e39885b,Rails and Ales,43.681054826477684,-79.33455581482418,East York
